frame,time,x_center,y_center
1,0,NaN,NaN
2,0.0333333,NaN,NaN
3,0.0666667,NaN,NaN
4,0.1,NaN,NaN
5,0.1333333,NaN,NaN
6,0.1666667,NaN,NaN
7,0.2,NaN,NaN
8,0.2333334,NaN,NaN
9,0.2666667,NaN,NaN
10,0.3,NaN,NaN
11,0.3333333,NaN,NaN
12,0.3666667,NaN,NaN
13,0.4,NaN,NaN
14,0.4333333,NaN,NaN
15,0.4666667,NaN,NaN
16,0.5,NaN,NaN
17,0.5333333,NaN,NaN
18,0.5666667,NaN,NaN
19,0.6,NaN,NaN
20,0.6333333,NaN,NaN
21,0.6666667,NaN,NaN
22,0.7,NaN,NaN
23,0.7333333,NaN,NaN
24,0.7666667,NaN,NaN
25,0.8,NaN,NaN
26,0.8333333,NaN,NaN
27,0.8666666,NaN,NaN
28,0.9,NaN,NaN
29,0.9333333,NaN,NaN
30,0.9666666,NaN,NaN
31,1,NaN,NaN
32,1.0333334,NaN,NaN
33,1.0666666,NaN,NaN
34,1.1,NaN,NaN
35,1.1333333,NaN,NaN
36,1.1666667,NaN,NaN
37,1.2,NaN,NaN
38,1.2333333,NaN,NaN
39,1.2666667,NaN,NaN
40,1.3,NaN,NaN
41,1.3333333,NaN,NaN
42,1.3666666,NaN,NaN
43,1.4,NaN,NaN
44,1.4333334,NaN,NaN
45,1.4666666,NaN,NaN
46,1.5,NaN,NaN
47,1.5333334,NaN,NaN
48,1.5666667,NaN,NaN
49,1.6,NaN,NaN
50,1.6333333,NaN,NaN
51,1.6666667,NaN,NaN
52,1.7,NaN,NaN
53,1.7333333,NaN,NaN
54,1.7666667,NaN,NaN
55,1.8,NaN,NaN
56,1.8333334,NaN,NaN
57,1.8666667,NaN,NaN
58,1.9,NaN,NaN
59,1.9333333,NaN,NaN
60,1.9666667,NaN,NaN
61,2,NaN,NaN
62,2.0333333,NaN,NaN
63,2.0666667,NaN,NaN
64,2.1,NaN,NaN
65,2.1333334,NaN,NaN
66,2.1666667,NaN,NaN
67,2.2,NaN,NaN
68,2.2333333,NaN,NaN
69,2.2666666,NaN,NaN
70,2.3,NaN,NaN
71,2.3333334,NaN,NaN
72,2.3666667,NaN,NaN
73,2.4,NaN,NaN
74,2.4333333,NaN,NaN
75,2.4666667,NaN,NaN
76,2.5,NaN,NaN
77,2.5333333,NaN,NaN
78,2.5666667,NaN,NaN
79,2.6,NaN,NaN
80,2.6333333,NaN,NaN
81,2.6666667,NaN,NaN
82,2.7,NaN,NaN
83,2.7333334,NaN,NaN
84,2.7666666,NaN,NaN
85,2.8,NaN,NaN
86,2.8333333,NaN,NaN
87,2.8666667,NaN,NaN
88,2.9,NaN,NaN
89,2.9333333,NaN,NaN
90,2.9666666,NaN,NaN
91,3,NaN,NaN
92,3.0333333,NaN,NaN
93,3.0666667,NaN,NaN
94,3.1,NaN,NaN
95,3.1333333,NaN,NaN
96,3.1666667,NaN,NaN
97,3.2,NaN,NaN
98,3.2333333,NaN,NaN
99,3.2666667,NaN,NaN
100,3.3,NaN,NaN
101,3.3333334,NaN,NaN
102,3.3666666,NaN,NaN
103,3.4,NaN,NaN
104,3.4333333,NaN,NaN
105,3.4666667,NaN,NaN
106,3.5,NaN,NaN
107,3.5333333,NaN,NaN
108,3.5666667,NaN,NaN
109,3.6,NaN,NaN
110,3.6333334,NaN,NaN
111,3.6666667,NaN,NaN
112,3.7,NaN,NaN
113,3.7333333,NaN,NaN
114,3.7666667,NaN,NaN
115,3.8,NaN,NaN
116,3.8333334,NaN,NaN
117,3.8666666,NaN,NaN
118,3.9,NaN,NaN
119,3.9333333,NaN,NaN
120,3.9666667,NaN,NaN
121,4,NaN,NaN
122,4.0333333,NaN,NaN
123,4.0666667,NaN,NaN
124,4.1,NaN,NaN
125,4.1333333,NaN,NaN
126,4.1666667,NaN,NaN
127,4.2,NaN,NaN
128,4.2333333,NaN,NaN
129,4.2666667,NaN,NaN
130,4.3,NaN,NaN
131,4.3333334,NaN,NaN
132,4.3666667,NaN,NaN
133,4.4,NaN,NaN
134,4.4333333,NaN,NaN
135,4.4666667,NaN,NaN
136,4.5,NaN,NaN
137,4.5333334,NaN,NaN
138,4.5666666,NaN,NaN
139,4.6,NaN,NaN
140,4.6333333,NaN,NaN
141,4.6666667,NaN,NaN
142,4.7,NaN,NaN
143,4.7333333,NaN,NaN
144,4.7666666,NaN,NaN
145,4.8,NaN,NaN
146,4.8333333,NaN,NaN
147,4.8666667,NaN,NaN
148,4.9,NaN,NaN
149,4.9333334,NaN,NaN
150,4.9666666,NaN,NaN
151,5,NaN,NaN
152,5.0333333,NaN,NaN
153,5.0666667,NaN,NaN
154,5.1,NaN,NaN
155,5.1333333,NaN,NaN
156,5.1666666,NaN,NaN
157,5.2,NaN,NaN
158,5.2333333,NaN,NaN
159,5.2666667,NaN,NaN
160,5.3,NaN,NaN
161,5.3333334,NaN,NaN
162,5.3666666,NaN,NaN
163,5.4,NaN,NaN
164,5.4333333,NaN,NaN
165,5.4666667,NaN,NaN
166,5.5,NaN,NaN
167,5.5333333,NaN,NaN
168,5.5666666,NaN,NaN
169,5.6,NaN,NaN
170,5.6333333,NaN,NaN
171,5.6666667,NaN,NaN
172,5.7,NaN,NaN
173,5.7333334,NaN,NaN
174,5.7666666,NaN,NaN
175,5.8,NaN,NaN
176,5.8333333,NaN,NaN
177,5.8666667,NaN,NaN
178,5.9,NaN,NaN
179,5.9333333,NaN,NaN
180,5.9666666,NaN,NaN
181,6,NaN,NaN
182,6.0333333,NaN,NaN
183,6.0666667,NaN,NaN
184,6.1,NaN,NaN
185,6.1333333,NaN,NaN
186,6.1666667,NaN,NaN
187,6.2,NaN,NaN
188,6.2333334,NaN,NaN
189,6.2666666,NaN,NaN
190,6.3,NaN,NaN
191,6.3333333,NaN,NaN
192,6.3666667,NaN,NaN
193,6.4,NaN,NaN
194,6.4333333,NaN,NaN
195,6.4666666,NaN,NaN
196,6.5,NaN,NaN
197,6.5333333,NaN,NaN
198,6.5666667,NaN,NaN
199,6.6,NaN,NaN
200,6.6333334,NaN,NaN
201,6.6666666,NaN,NaN
202,6.7,NaN,NaN
203,6.7333333,NaN,NaN
204,6.7666667,NaN,NaN
205,6.8,NaN,NaN
206,6.8333333,NaN,NaN
207,6.8666666,NaN,NaN
208,6.9,NaN,NaN
209,6.9333333,NaN,NaN
210,6.9666667,NaN,NaN
211,7,NaN,NaN
212,7.0333334,NaN,NaN
213,7.0666666,NaN,NaN
214,7.1,NaN,NaN
215,7.1333333,NaN,NaN
216,7.1666667,NaN,NaN
217,7.2,NaN,NaN
218,7.2333333,NaN,NaN
219,7.2666666,NaN,NaN
220,7.3,NaN,NaN
221,7.3333333,NaN,NaN
222,7.3666667,NaN,NaN
223,7.4,NaN,NaN
224,7.4333334,NaN,NaN
225,7.4666666,NaN,NaN
226,7.5,NaN,NaN
227,7.5333333,NaN,NaN
228,7.5666667,NaN,NaN
229,7.6,NaN,NaN
230,7.6333333,NaN,NaN
231,7.6666666,NaN,NaN
232,7.7,NaN,NaN
233,7.7333333,NaN,NaN
234,7.7666667,NaN,NaN
235,7.8,NaN,NaN
236,7.8333334,NaN,NaN
237,7.8666666,NaN,NaN
238,7.9,NaN,NaN
239,7.9333333,NaN,NaN
240,7.9666667,NaN,NaN
241,8,NaN,NaN
242,8.0333333,NaN,NaN
243,8.0666666,NaN,NaN
244,8.1,NaN,NaN
245,8.1333333,NaN,NaN
246,8.1666667,NaN,NaN
247,8.2,NaN,NaN
248,8.2333333,NaN,NaN
249,8.2666667,NaN,NaN
250,8.3,NaN,NaN
251,8.3333333,NaN,NaN
252,8.3666667,NaN,NaN
253,8.4,NaN,NaN
254,8.4333333,NaN,NaN
255,8.4666666,NaN,NaN
256,8.5,NaN,NaN
257,8.5333333,NaN,NaN
258,8.5666667,NaN,NaN
259,8.6,NaN,NaN
260,8.6333334,NaN,NaN
261,8.6666666,NaN,NaN
262,8.7,NaN,NaN
263,8.7333333,NaN,NaN
264,8.7666667,NaN,NaN
265,8.8,NaN,NaN
266,8.8333333,NaN,NaN
267,8.8666666,NaN,NaN
268,8.9,NaN,NaN
269,8.9333333,NaN,NaN
270,8.9666667,NaN,NaN
271,9,NaN,NaN
272,9.0333334,NaN,NaN
273,9.0666666,NaN,NaN
274,9.1,NaN,NaN
275,9.1333333,NaN,NaN
276,9.1666667,NaN,NaN
277,9.2,NaN,NaN
278,9.2333333,NaN,NaN
279,9.2666666,NaN,NaN
280,9.3,NaN,NaN
281,9.3333333,NaN,NaN
282,9.3666667,NaN,NaN
283,9.4,NaN,NaN
284,9.4333333,NaN,NaN
285,9.4666667,NaN,NaN
286,9.5,NaN,NaN
287,9.5333334,NaN,NaN
288,9.5666666,NaN,NaN
289,9.6,NaN,NaN
290,9.6333333,NaN,NaN
291,9.6666667,NaN,NaN
292,9.7,NaN,NaN
293,9.7333333,NaN,NaN
294,9.7666666,NaN,NaN
295,9.8,NaN,NaN
296,9.8333333,657,514
297,9.8666667,658.500000004732,513.916666666404
298,9.9,660.000000009464,513.833333332808
299,9.9333334,661.500000014196,513.749999999211
300,9.9666666,663.000000018927,513.666666665615
301,10,664.500000023659,513.583333332019
302,10.0333333,666,513.5
303,10.0666667,666.699999862208,513.799999940946
304,10.1,667.399999724416,514.099999881893
305,10.1333333,668.099999586625,514.399999822839
306,10.1666666,668.799999448833,514.699999763786
307,10.2,669.5,515
308,10.2333333,670.624999441049,515.249999875789
309,10.2666667,671.749998882098,515.499999751577
310,10.3,672.874998323148,515.749999627366
311,10.3333334,674,516
312,10.3666666,675.300000524101,516.100000040315
313,10.4,676.600001048202,516.200000080631
314,10.4333333,677.900001572303,516.300000120946
315,10.4666667,679.200002096404,516.400000161262
316,10.5,680.5,516.5
